"sampleid","code","site","plot","date","year","month","day","flowerscollected","isreplicate","isfailedlabwork","isdispersion","sampleid_alternative","generation","generation_merge57","mapped_reads","coverage","usesample","weighted_mean_coverage"
"MLFH011220190528","FH",1,12,"20190528",2019,5,28,11,FALSE,FALSE,FALSE,NA,2,2,4736271,4.736271,TRUE,6.65897425373134
"MLFH011220200323","FH",1,12,"20200323",2020,3,23,5,FALSE,FALSE,FALSE,NA,3,3,7986466,7.986466,TRUE,8.16289697916667
"MLFH011220200406","FH",1,12,"20200406",2020,4,6,23,FALSE,FALSE,FALSE,NA,3,3,9433943,9.433943,TRUE,8.16289697916667
"MLFH011220200420","FH",1,12,"20200420",2020,4,20,13,FALSE,FALSE,FALSE,NA,3,3,8017942,8.017942,TRUE,8.16289697916667
"MLFH011220200504","FH",1,12,"20200504",2020,5,4,2,FALSE,FALSE,FALSE,NA,3,3,4664490,4.66449,TRUE,8.16289697916667
"MLFH011220200518","FH",1,12,"20200518",2020,5,18,4,FALSE,FALSE,FALSE,NA,3,3,3821896,3.821896,TRUE,8.16289697916667
"MLFH011220200602","FH",1,12,"20200602",2020,6,2,1,FALSE,FALSE,FALSE,NA,3,3,6056226,6.056226,TRUE,8.16289697916667
"MLFH020120180316","FH",2,1,"20180316",2018,3,16,1,FALSE,FALSE,FALSE,NA,1,1,36869,0.036869,FALSE,NA
"MLFH020120180405","FH",2,1,"20180405",2018,4,5,11,FALSE,FALSE,FALSE,NA,1,1,21814,0.021814,FALSE,NA
"MLFH020120180420","FH",2,1,"20180420",2018,4,20,30,FALSE,FALSE,FALSE,NA,1,1,19253,0.019253,FALSE,NA
"MLFH020520180316","FH",2,5,"20180316",2018,3,16,5,FALSE,FALSE,FALSE,NA,1,1,24738,0.024738,FALSE,NA
"MLFH020520180405","FH",2,5,"20180405",2018,4,5,70,FALSE,FALSE,FALSE,NA,1,1,20926,0.020926,FALSE,NA
