ID,match_1001G_250K,final1001G_name,final1001G_CS,final1001G_country,final1001G_latitude,final1001G_longitude,dat250K_name,dat250K_CS,dat250K_country,dat250K_latitude,dat250K_longitude,RegMap_name,RegMap_CS,RegMap_country,RegMap_latitude,RegMap_longitude,old1001G_name,old1001G_CS,old1001G_country,old1001G_latitude,old1001G_longitude
417,no,,,,,,Doubravnik14, ,Czech Republic,49.4211,16.3497,Doubravnik14, ,Czech Republic,49.4211,16.3497,,,,,
421,no,,,,,,Doubravnik18, ,Czech Republic,49.4211,16.3497,Doubravnik18, ,Czech Republic,49.4211,16.3497,,,,,
429,no,,,,,,Borky2, ,Czech Republic,49.403,16.232,Borky2, ,Czech Republic,49.403,16.232,,,,,
430,no,Gr-1,CS76496,AUT,47,15.5,,,,,,,,,,,Gr-1,Gr-1,AUT,47,15.5
461,no,,,,,,EM-183, ,United Kingdom,51.3,0.5,EM-183, ,United Kingdom,51.3,0.5,,,,,
466,no,,,,,,EM-134, ,United Kingdom,51.3,0.5,EM-134, ,United Kingdom,51.3,0.5,,,,,
470,no,BRR4,CS78943,USA,40.8313,-87.735,,,,,,,,,,,,,,,
476,no,BRR12,CS78944,USA,40.8313,-87.735,,,,,,,,,,,,,,,
484,no,BRR23,CS78945,USA,40.8313,-87.735,,,,,,,,,,,,,,,
504,no,BRR57,CS78946,USA,40.8313,-87.735,,,,,,,,,,,,,,,
506,no,BRR60,CS78947,USA,40.8313,-87.735,,,,,,,,,,,,,,,
531,no,BRR107,CS78948,USA,40.8313,-87.735,,,,,,,,,,,,,,,
544,no,LI-WP-039,CS78949,USA,40.9076,-73.2089,,,,,,,,,,,,,,,
546,no,LI-WP-041,CS78950,USA,40.9076,-73.2089,,,,,,,,,,,,,,,
607,no,,,,,,LI-OF-002, ,United States of America,40.7777,-72.9069,LI-OF-002, ,United States of America,40.7777,-72.9069,,,,,
615,no,,,,,,LI-OF-023, ,United States of America,40.7777,-72.9069,LI-OF-023, ,United States of America,40.7777,-72.9069,,,,,
623,no,,,,,,LI-OF-042, ,United States of America,40.7777,-72.9069,LI-OF-042, ,United States of America,40.7777,-72.9069,,,,,
627,no,,,,,,LI-OF-060, ,United States of America,40.7777,-72.9069,LI-OF-060, ,United States of America,40.7777,-72.9069,,,,,
628,no,LI-OF-061,CS78951,USA,40.7777,-72.9069,,,,,,,,,,,,,,,
